
[00:00:00.000 --> 00:00:01.400]   Message publicitaire.
[00:36:15.440 --> 00:36:18.440]   Voilà ce que demande 20 minutes pour le faire.
[00:36:18.440 --> 00:36:22.840]   Justement, avant que tu dises ça, j'allais te dire, j'aime pas trop parce que ça donne
[00:36:22.840 --> 00:36:27.440]   l'illusion que l'autoportrait a été inventé par cette génération.
[00:36:27.440 --> 00:36:30.440]   Comme les gens aiment à dire "ah bah maintenant ils se prennent tous en photo", alors que
[00:36:30.440 --> 00:36:34.000]   tous les gens qui avaient un appareil photo se sont pris en photo avec.
[00:36:34.000 --> 00:36:38.200]   C'est juste que c'est plus pratique maintenant, mais de dire "oh la génération narcissique",
[00:36:38.200 --> 00:36:39.200]   bah non.
[00:36:39.200 --> 00:36:40.200]   Les gens le faisaient avant quoi.
[00:36:40.200 --> 00:36:41.200]   Ah oui, tu veux dire depuis qu'il y a des appareils photos ?
[00:36:41.200 --> 00:36:45.200]   Oui, en fait ce que je veux dire c'est que maintenant qu'il y a des téléphones, les
[00:36:45.200 --> 00:36:48.440]   gens aiment bien dire "oh c'est une génération narcissique" parce qu'ils font tous des selfies.
[00:36:48.440 --> 00:36:51.440]   Mais t'es plus souvent face à ton reflet, c'est vrai aussi quand même.
[00:36:51.440 --> 00:36:53.440]   T'as plus de facilité à te regarder.
[00:36:53.440 --> 00:36:55.440]   Oui mais en fait le truc c'est que de manière générale…
[00:36:55.440 --> 00:36:56.440]   T'as un retour direct.
[00:36:56.440 --> 00:37:01.560]   Tout le monde, l'humanité entière prend plus de photos tout court qu'avant, parce
[00:37:01.560 --> 00:37:05.520]   qu'on a un téléphone sur soi tout le temps, donc on prend aussi plus de selfies.
[00:37:05.520 --> 00:37:10.960]   Mais avant les gens qui avaient un appareil photo ils prenaient des selfies aussi quoi.
[00:37:10.960 --> 00:37:14.980]   Et surtout ça nous épargne de demander aux gens "excusez moi ça marche pas" qui mettent
[00:37:14.980 --> 00:37:15.980]   le doigt devant l'objectif.
[00:37:15.980 --> 00:37:16.980]   Et puis en plus…
[00:37:16.980 --> 00:37:17.980]   Ça, ça fait des souvenirs.
[00:37:17.980 --> 00:37:18.980]   Je suis Marcel Proust en fait.
[00:37:18.980 --> 00:37:22.680]   Je veux dire y'a pas de mal en plus, tant mieux si les gens apprécient leur image.
[00:37:22.680 --> 00:37:24.440]   À côté d'un monument historique.
[00:37:24.440 --> 00:37:26.440]   Qui pourrait tenir entre leurs doigts.
[00:37:26.440 --> 00:37:28.200]   Y'a un effet un peu visuel.
[00:37:28.200 --> 00:37:29.200]   Pour pas qu'ils tombent.
[00:37:29.200 --> 00:37:31.200]   Oui pour pas que le truc se fête la gueule.
[00:37:31.200 --> 00:37:32.200]   Bah ça serait chanmé.
[00:37:32.200 --> 00:37:34.680]   Ça généralement c'est justement pas des selfies du coup.
[00:37:34.680 --> 00:37:35.680]   Oui cela dit oui.
[00:37:35.680 --> 00:37:36.680]   Mais si parce que…
[00:37:36.680 --> 00:37:37.680]   Oui non pas du tout.
[00:37:37.680 --> 00:37:38.680]   Et d'ailleurs…
[00:37:38.680 --> 00:37:39.680]   Oh je peux dire un truc !
[00:37:39.680 --> 00:37:40.680]   Non !
[00:37:40.680 --> 00:37:41.680]   Je le savais !
[00:37:41.680 --> 00:37:42.680]   Cette élection l'a détruit de l'intérieur.
[00:37:42.680 --> 00:37:43.680]   Vous le voyez bien.
[00:37:43.680 --> 00:37:44.680]   Il est plus…
[00:37:44.680 --> 00:37:45.680]   C'est bien le seul parce que pour le coup nous on est assez cool, on est assez serein
[00:37:45.680 --> 00:37:46.680]   avec ces résultats.
[00:37:46.680 --> 00:37:47.680]   Votre candidat est deuxième.
[00:37:47.680 --> 00:37:48.680]   Et on est ravis, ravis.
[00:37:48.680 --> 00:37:49.680]   Et je dis ravis.
[00:37:49.680 --> 00:37:50.680]   Et on est ravis.
[00:37:50.680 --> 00:37:51.680]   Et on est ravis.
[00:37:51.680 --> 00:38:02.020]   Moi je le dis, c'est Macron, j'ai pas peur ! Horrible ! Non j'ai pas dit ça.
[00:38:02.020 --> 00:38:04.220]   Attends moi j'ai quand même, pardon, juste je fais une…
[00:38:04.220 --> 00:38:05.960]   Et après moi j'aurai juste mon truc aussi.
[00:38:05.960 --> 00:38:06.960]   Ouais ouais.
[00:38:06.960 --> 00:38:14.660]   C'est juste j'ai un ami à moi que je connais depuis la terminale donc ça fait
[00:38:14.660 --> 00:38:20.200]   20 ans que je le connais et mes dernières stories là, alors on est moins proches dernièrement
[00:38:20.200 --> 00:38:21.200]   mais quand même.
[00:38:21.200 --> 00:38:25.380]   Il a répondu à une de mes stories en disant « ah mais je croyais que t'aimais bien
[00:38:25.380 --> 00:38:31.580]   Macron toi ». Vraiment c'est là où tu vois qu'on a perdu le contact quoi.
[00:38:31.580 --> 00:38:33.860]   Il y a eu un contact de perdu, il y a eu clairement un contact de perdu.
[00:38:33.860 --> 00:38:35.980]   Bon c'est très difficile de passer après cette histoire.
[00:38:35.980 --> 00:38:36.980]   Non mais arrête.
[00:38:36.980 --> 00:38:39.580]   Non non mais si si, moi je déteste Emmanuel Macron.
[00:38:39.580 --> 00:38:41.460]   Et la spéculation sur les cartes Pokémon.
[00:38:41.460 --> 00:38:46.120]   C'est vrai que j'en avais parlé, la spéculation sur le jouet en général me dégoûte, je
[00:38:46.120 --> 00:38:47.120]   suis dégoûté.
[00:38:47.120 --> 00:38:48.120]   On est tous d'accord avec toi.
[00:38:48.120 --> 00:38:50.720]   A chaque fois que je dis la vérité je répète deux fois, non mais c'est vrai, la spéculation
[00:38:50.720 --> 00:38:51.720]   sur le jouet, horrible.
[00:38:51.720 --> 00:38:52.960]   Et alors toi avec les NFT ça a dû te…
[00:38:52.960 --> 00:38:55.940]   Alors les NFT ça m'a évidemment très heureux, j'ai évidemment investi dedans,
[00:38:55.940 --> 00:38:57.940]   je me suis donné à cœur joie, j'adore ça.
[00:38:57.940 --> 00:39:01.680]   Ta pépi est un singe de merde comme il vit coup pas ? Un immonde singe.
[00:39:01.680 --> 00:39:04.480]   Je suis obligé de reprendre un virage et je te redonne la parole tout de suite.
[00:39:04.480 --> 00:39:08.140]   On s'éloigne de plus en plus du moment au portable c'était le média quoi, mais c'est
[00:39:08.140 --> 00:39:09.140]   pas grave.
[00:39:09.140 --> 00:39:10.140]   Après il y a le montage bien sûr.
[00:39:10.140 --> 00:39:16.880]   J'ai posté le premier message que j'ai envoyé à Adrien où je lui propose le
[00:39:16.880 --> 00:39:20.720]   Flotcast et plein de gens ont fait la blague « oh c'est une NFT ça faut le vendre en
[00:39:20.720 --> 00:39:26.060]   fait ». Je suis spammé sur Twitter de créateurs d'NFT anglais qui juste je pense réagissent
[00:39:26.060 --> 00:39:29.440]   au mot NFT sur Twitter qui me demandent de faire un NFT sur Twitter, c'est horrible,
[00:39:29.440 --> 00:39:30.440]   tous les jours j'en reçois des messages.
[00:39:30.440 --> 00:39:33.540]   Bon attendez là j'en peux plus, c'est quoi une NFT ?
[00:39:33.540 --> 00:39:35.300]   C'est un non fongible token.
[00:39:35.300 --> 00:39:38.300]   Voilà, dans ta gueule.
[00:39:38.300 --> 00:39:39.300]   C'est horrible.
[00:39:39.300 --> 00:39:41.800]   Alors il faut que tu… alors comment l'expliquer ? C'est une…
[00:39:41.800 --> 00:39:42.800]   Il y en a un gros ?
[00:39:42.800 --> 00:39:43.800]   Dans 2-3 heures.
[00:39:43.800 --> 00:39:44.800]   Il l'a vraiment fait.
[00:39:44.800 --> 00:39:45.800]   Oh putain.
[00:39:45.800 --> 00:39:46.800]   Non, non, non.
[00:39:46.800 --> 00:39:47.800]   Très simplement gros.
[00:39:47.800 --> 00:39:50.240]   On a tous le même point de vue dessus je pense, c'est pour ça.
[00:39:50.240 --> 00:39:52.900]   Est-ce que tu vois un singe mal dessiné ? Bon voilà.
[00:39:52.900 --> 00:40:02.800]   En gros c'est très simplifié, c'est un objet internet donc ça peut être une image,
[00:40:02.800 --> 00:40:11.280]   un fichier en gros, sauf qu'il y a un certificat d'authenticité et de propriété numérique
[00:40:11.280 --> 00:40:15.560]   qui fait que tu es identifié comme l'unique propriétaire de ce fichier.
[00:40:15.560 --> 00:40:17.560]   Par exemple pour donner un exemple concret.
[00:40:17.560 --> 00:40:19.760]   Et là tu dis mais attends je comprends pas, c'est de la merde.
[00:40:19.760 --> 00:40:20.760]   Oui c'est ça.
[00:40:20.760 --> 00:40:21.760]   Voilà.
[00:40:21.760 --> 00:40:24.260]   Par exemple un exemple concret, un des premiers NFT dont on a entendu parler c'est le premier
[00:40:24.260 --> 00:40:27.260]   tweet qui a jamais été tweeté et du coup il y a un certificat…
[00:40:27.260 --> 00:40:29.360]   Et alors NFT c'est des initiales pour dire quoi ?
[00:40:29.360 --> 00:40:30.360]   Non Fongible Token.
[00:40:30.360 --> 00:40:35.880]   Et vu que tu es bilingue, il n'y en a aucun besoin de te le traduire.
[00:40:35.880 --> 00:40:41.340]   Donc c'est… comment on pourrait traduire ? C'est-à-dire que c'est une monnaie
[00:40:41.340 --> 00:40:44.080]   d'échange qui n'appartient à aucun courant financier c'est ça grosso modo ?
[00:40:44.080 --> 00:40:48.420]   Non, c'est une monnaie d'échange qui peut pas être… qui est unique en gros… enfin
[00:40:48.420 --> 00:40:49.420]   disons un peu… l'argent.
[00:40:49.420 --> 00:40:52.100]   C'est un token mais genre si tu… non mais…
[00:40:52.100 --> 00:40:55.340]   Attends je suis avec toi hein.
[00:40:55.340 --> 00:41:00.800]   Si j'ai 10 euros et que je les donne à quelqu'un et qu'il me donne deux billets
[00:41:00.800 --> 00:41:07.400]   de 5, moi j'ai la même… j'ai le même nombre de tokens qui sont 10 euros.
[00:41:07.400 --> 00:41:08.400]   Mais c'est du bitcoin ?
[00:41:08.400 --> 00:41:09.400]   Sauf que là c'est bah…
[00:41:09.400 --> 00:41:10.400]   Oui.
[00:41:10.400 --> 00:41:11.400]   Bitcoin mais oui.
[00:41:11.400 --> 00:41:12.400]   Non mais…
[00:41:12.400 --> 00:41:13.400]   T'as dit quoi ?
[00:41:13.400 --> 00:41:14.400]   Bitcoin.
[00:41:14.400 --> 00:41:15.400]   C'est bitcoin.
[00:41:15.400 --> 00:41:16.400]   Alors que là c'est un objet qui est…
[00:41:16.400 --> 00:41:17.400]   Bon écoutez j'en ai marre, j'ai oublié.
[00:41:17.400 --> 00:41:18.400]   C'est un objet qui est…
[00:41:18.400 --> 00:41:23.080]   La seule fois que je viens ici de toute façon je suis humiliée parce que vous envoyez des
[00:41:23.080 --> 00:41:24.080]   termes très…
[00:41:24.080 --> 00:41:25.080]   Mais pas du tout.
[00:41:25.080 --> 00:41:26.080]   Mais en plus on est chez toi.
[00:41:26.080 --> 00:41:27.080]   Est-ce que tu veux dormir ?
[00:41:27.080 --> 00:41:28.080]   Oh je me casse !
[00:41:28.080 --> 00:41:29.080]   Bah il est dehors.
[00:41:29.080 --> 00:41:30.080]   Ok mon femme derrière nous mais…
[00:41:30.080 --> 00:41:31.080]   Non d'accord.
[00:41:31.080 --> 00:41:36.900]   Mais là en gros c'est pour dire c'est une image qui est pleine, entière, que tu
[00:41:36.900 --> 00:41:37.900]   peux pas échanger enfin…
[00:41:37.900 --> 00:41:40.400]   Si ça peut te rassurer j'ai jamais su ce qu'il fait les initiales de coin NFT.
[00:41:40.400 --> 00:41:41.400]   Qui est indivisible.
[00:41:41.400 --> 00:41:42.400]   Oui c'est ça qui est indivisible.
[00:41:42.400 --> 00:41:43.400]   Ouais indivisible et qui… ouais je sais pas quand même…
[00:41:43.400 --> 00:41:45.000]   Dis-toi que c'est une œuvre d'art numérique.
[00:41:45.000 --> 00:41:46.000]   Voilà d'accord.
[00:41:46.000 --> 00:41:47.000]   Grosso modo.
[00:41:47.000 --> 00:41:48.000]   Qui potentiellement peut…
[00:41:48.000 --> 00:41:49.000]   Gagner de la valeur.
[00:41:49.000 --> 00:41:50.000]   La valeur.
[00:41:50.000 --> 00:41:51.000]   Comme une œuvre d'art.
[00:41:51.000 --> 00:41:52.000]   D'accord.
[00:41:52.000 --> 00:41:54.000]   Et donc là le premier… le texto que t'as envoyé à Adrien…
[00:41:54.000 --> 00:41:56.960]   Bah voilà je l'ai posté sur internet et donc quelqu'un a dit mais ça ça peut
[00:41:56.960 --> 00:41:57.960]   être une NFT parce qu'à partir du moment où c'est un truc numérique…
[00:41:57.960 --> 00:41:58.960]   Ah d'accord parce que c'est unique et que c'est un truc… ok bah j'ai compris.
[00:41:58.960 --> 00:42:02.500]   Voilà et quelqu'un achète le certificat de propriété de ça et dit moi c'est
[00:42:02.500 --> 00:42:05.560]   moi qui ai le certificat de propriété de ça et tu peux spéculer aussi à partir de
[00:42:05.560 --> 00:42:06.560]   ça.
[00:42:06.560 --> 00:42:08.580]   D'ailleurs c'est le seul intérêt c'est la spéculation d'ailleurs.
[00:42:08.580 --> 00:42:09.580]   Absolument.
[00:42:09.580 --> 00:42:12.500]   Et puis il paraît qu'il y aura un intérêt pour le Metaverse etc derrière je sais pas
[00:42:12.500 --> 00:42:15.080]   encore lequel vu que les gens achètent des terrains sur le Metaverse etc.
[00:42:15.080 --> 00:42:16.080]   Oui oui.
[00:42:16.080 --> 00:42:17.080]   Et ça se trade avec du…
[00:42:17.080 --> 00:42:18.080]   Le Metaverse te le fera à la fin de l'émission.
[00:42:18.080 --> 00:42:19.080]   Ça se trade avec des crypto-monnaies en fait.
[00:42:19.080 --> 00:42:20.080]   C'est ça.
[00:42:20.080 --> 00:42:21.080]   C'est le futur.
[00:42:21.080 --> 00:42:22.080]   D'accord.
[00:42:22.080 --> 00:42:24.080]   Est-ce que tu vas pouvoir dire ce que tu voulais dire ?
[00:42:24.080 --> 00:42:25.080]   Ça n'a plus aucun intérêt.
[00:42:25.080 --> 00:42:26.080]   Non non.
[00:42:26.080 --> 00:42:27.080]   Dis-le je t'en supplie dis-le.
[00:42:27.080 --> 00:42:29.080]   Alors parce qu'on parlait des selfies et ça me fait penser au point de vue alors
[00:42:29.080 --> 00:42:32.180]   tu m'as dit enfin tu as dit à juste titre oui mais quand on fait semblant de retenir
[00:42:32.180 --> 00:42:35.300]   la tour de piste c'est pas un selfie t'as raison parce qu'à la base on pensait plutôt
[00:42:35.300 --> 00:42:38.500]   à genre se prendre à côté d'un monument et donc le point de vue du selfie.
[00:42:38.500 --> 00:42:39.500]   Exactement.
[00:42:39.500 --> 00:42:44.980]   Est-ce qu'on a déjà parlé du fait que R2D2 quand il diffuse l'image de Leïa c'est
[00:42:44.980 --> 00:42:49.620]   pas possible de la voir d'aussi loin ? Quand on voit l'image de Leïa en fait la caméra
[00:42:49.620 --> 00:42:50.620]   est hyper loin.
[00:42:50.620 --> 00:42:51.620]   Je suis d'accord.
[00:42:51.620 --> 00:42:55.060]   Si c'était R2D2 qui enregistre le message : "Merci Obi-Wan Kenobi vous êtes notre
[00:42:55.060 --> 00:42:59.300]   seul espoir" ça devrait être le nez de… comme les selfies de Jean-Marie Bigard quand
[00:42:59.300 --> 00:43:01.420]   il faisait ses interventions avec son énorme nez.
[00:43:01.420 --> 00:43:08.000]   Pourquoi elle ne peut pas être si loin ? Parce qu'elle l'enregistre sur R2D2.
[00:43:08.000 --> 00:43:10.300]   Qui la filme ? Elle l'enregistre sur R2D2.
[00:43:10.300 --> 00:43:12.820]   C'est R2D2 ? Non parce que si R2D2 la filme il est proche
[00:43:12.820 --> 00:43:13.820]   d'elle.
[00:43:13.820 --> 00:43:14.820]   Après quand il la projette… Pourquoi il est proche d'elle ?
[00:43:14.820 --> 00:43:15.820]   Parce qu'elle est devant.
[00:43:15.820 --> 00:43:16.820]   Elle tape dessus.
[00:43:16.820 --> 00:43:17.820]   Le micro c'est R2D2.
[00:43:17.820 --> 00:43:18.820]   Peut-être qu'elle tape dessus et elle prend du recul.
[00:43:18.820 --> 00:43:21.500]   Non dans l'image dans Star Wars elle ne le fait pas.
[00:43:21.500 --> 00:43:23.860]   Les plans d'étoiles là sont… Vous êtes notre seul espoir.
[00:43:23.860 --> 00:43:25.980]   Vous êtes un grand tank de malades sur R2D2.
[00:43:25.980 --> 00:43:29.660]   Il faudrait qu'il y ait une petite caméra qui se déplace là bas très très loin pour
[00:43:29.660 --> 00:43:30.660]   filmer le truc.
[00:43:30.660 --> 00:43:34.840]   Ou alors une caméra 360 et qui reconstruit l'image.
[00:43:34.840 --> 00:43:40.320]   Ah parce qu'elle n'est pas de face ? Elle est du plan de la caméra en fait grosso
[00:43:40.320 --> 00:43:41.320]   modo.
[00:43:41.320 --> 00:43:44.760]   T'es fan de Star Wars toi ? Non pas du tout.
[00:43:44.760 --> 00:43:45.760]   Si j'adore Star Wars.
[00:43:45.760 --> 00:43:46.760]   Pour l'inverse.
[00:43:46.760 --> 00:43:47.760]   J'adore Star Wars.
[00:43:47.760 --> 00:43:53.300]   Mais il n'aime pas être catégorisé dans le nom des fans c'est ça ?
[00:43:53.300 --> 00:43:54.880]   Non c'est pas ça c'est que j'adore Star Wars.
[00:43:54.880 --> 00:43:55.880]   Le fandom ça t'embête.
[00:43:55.880 --> 00:43:58.900]   J'aime énormément Star Wars mais j'entretiens un rapport très intime avec Star Wars.
[00:43:58.900 --> 00:44:01.980]   C'est vrai que j'ai du mal à… enfin voilà j'ai des trucs que j'aime bien j'aime
[00:44:01.980 --> 00:44:02.980]   bien voilà.
[00:44:02.980 --> 00:44:03.980]   Non mais je suis d'accord.
[00:44:03.980 --> 00:44:04.980]   Il n'y a pas de honte.
[00:44:04.980 --> 00:44:05.980]   Tu es dans le podcast où on peut parler de ça.
[00:44:05.980 --> 00:44:06.980]   Luc cours le ciel.
[00:44:06.980 --> 00:44:07.980]   Bien sûr.
[00:44:07.980 --> 00:44:08.980]   Marche le ciel.
[00:44:08.980 --> 00:44:09.980]   Marche le ciel.
[00:44:09.980 --> 00:44:11.700]   Et moi par exemple t'as regardé la dernière série Book of Boba Fett ?
[00:44:11.700 --> 00:44:15.100]   Ça m'est tellement tombé des mains mais déjà Mandalorian moi ça ne m'a pas passionné
[00:44:15.100 --> 00:44:16.100]   en vérité.
[00:44:16.100 --> 00:44:19.960]   Je ne trouve pas que Jon Favreau soit un très bon réalisateur et il réalise en plus sur
[00:44:19.960 --> 00:44:20.960]   la saison 2 de Mandalorian.
[00:44:20.960 --> 00:44:21.960]   Oui.
[00:44:21.960 --> 00:44:22.960]   Dans tes dents Jon Favreau.
[00:44:22.960 --> 00:44:26.960]   Dans tes dents Jon Favreau il nous écoute, c'est un fan de l'émission.
[00:44:26.960 --> 00:44:27.960]   Ok.
[00:44:27.960 --> 00:44:32.220]   Je trouve qu'il est vraiment meilleur acteur que réalisateur mais après il a fait des
[00:44:32.220 --> 00:44:35.400]   bons trucs sur Mandalorian, des bons choix en termes de DA et tout, je n'ai pas de soucis
[00:44:35.400 --> 00:44:36.400]   avec ça.
[00:44:36.400 --> 00:44:39.240]   Mais la deuxième saison m'est un peu tombé des mains et alors vraiment Boba Fett déjà
[00:44:39.240 --> 00:44:41.340]   c'est un personnage dont on se branlait complètement.
[00:44:41.340 --> 00:44:44.060]   Il apparaît dans le Christmas Special en dessin animé.
[00:44:44.060 --> 00:44:45.060]   Oui c'est là qu'il a été inventé.
[00:44:45.060 --> 00:44:46.060]   Oui c'est possible.
[00:44:46.060 --> 00:44:48.700]   Oui c'est ça c'était genre en dessin animé c'était la première fois.
[00:44:48.700 --> 00:44:50.200]   Je suis moi-même un geek de Star Wars.
[00:44:50.200 --> 00:44:52.200]   Un personnage pas très intéressant en vérité.
[00:44:52.200 --> 00:44:54.560]   Et qui est tout vieux maintenant en plus donc on s'en fout un peu.
[00:44:54.560 --> 00:44:55.560]   Qu'est-ce qu'on s'en branle.
[00:44:55.560 --> 00:44:56.560]   Voilà.
[00:44:56.560 --> 00:44:57.560]   Et c'est cette tombe des mains vraiment.
[00:44:57.560 --> 00:44:58.560]   Je n'ai même pas regardé ça ne m'a pas intéressé.
[00:44:58.560 --> 00:44:59.560]   Mais bon.
[00:44:59.560 --> 00:45:00.560]   Mais pour revenir au musée du selfie.
[00:45:00.560 --> 00:45:01.560]   Bien sûr.
[00:45:01.560 --> 00:45:02.560]   Oui Léonore.
[00:45:02.560 --> 00:45:04.600]   En gros ce n'est pas vraiment un musée du selfie et c'est là où il joue un peu avec
[00:45:04.600 --> 00:45:05.600]   les mots.
[00:45:05.600 --> 00:45:09.240]   C'est en fait des décors dans lequel tu peux avoir des décors un peu chouettes pour faire
[00:45:09.240 --> 00:45:10.240]   tes selfies.
[00:45:10.240 --> 00:45:14.160]   Présenté comme une expérience interactive pour les réseaux sociaux, le Useum de la capitale
[00:45:14.160 --> 00:45:16.880]   suédoise n'a pas d'œuvres d'art accrochées au grand mur blanc, ils sont pris d'entrée
[00:45:22.200 --> 00:45:25.520]   et à la décoration excentrique destinée à leur offrir un second plan du premier ordre
[00:45:25.520 --> 00:45:26.960]   pour leurs photos sur les réseaux sociaux.
[00:45:26.960 --> 00:45:28.880]   Donc ça n'a vraiment aucun intérêt.
[00:45:28.880 --> 00:45:29.880]   Vraiment.
[00:45:29.880 --> 00:45:30.880]   Pas le moindre.
[00:45:30.880 --> 00:45:33.460]   Parce qu'à la limite un vrai musée du selfie, ça moi je peux être intéressé.
[00:45:33.460 --> 00:45:36.200]   Genre il y a le selfie des Oscars, il y a le selfie de…
[00:45:36.200 --> 00:45:38.580]   C'est comment on se répare les auto-portraits peut-être.
[00:45:38.580 --> 00:45:41.300]   Oui voilà ou un truc de l'histoire d'internet.
[00:45:41.300 --> 00:45:42.300]   Oui.
[00:45:42.300 --> 00:45:43.300]   Tu vois un truc.
[00:45:43.300 --> 00:45:45.760]   L'origine du selfie aussi et de remonter vraiment très loin.
[00:45:45.760 --> 00:45:46.760]   Exactement.
[00:45:46.760 --> 00:45:48.420]   Quelle est la première personne qui s'est prise en photo.
[00:45:48.420 --> 00:45:51.440]   Parce que là tu vois il y a la salle Emoji qui est remplie de balles bleues et jaunes
[00:45:51.440 --> 00:45:53.660]   représentant les incontournables smileys.
[00:45:53.660 --> 00:45:54.660]   Bon d'accord.
[00:45:54.660 --> 00:45:55.660]   Ah oui d'accord.
[00:45:55.660 --> 00:45:56.660]   On n'y ira jamais.
[00:45:56.660 --> 00:45:57.660]   On n'y ira jamais.
[00:45:57.660 --> 00:46:00.940]   Pareil que la voiture de 150 mètres là, de 35 mètres là.
[00:46:00.940 --> 00:46:01.940]   Ne faites pas ça.
[00:46:01.940 --> 00:46:04.940]   Mais est-ce que vous, toi Léonore, je pense, toi t'es team musée ou pas du tout ? T'aimes
[00:46:04.940 --> 00:46:05.940]   bien aller au musée ?
[00:46:05.940 --> 00:46:06.940]   Pas trop malheureusement.
[00:46:06.940 --> 00:46:07.940]   Tu t'ennuies ?
[00:46:07.940 --> 00:46:13.540]   Non c'est pas de l'ennui, c'est comment je pourrais expliquer ça ? Être debout.
[00:46:13.540 --> 00:46:14.540]   Ouais déjà.
[00:46:14.540 --> 00:46:20.380]   Et il y a un truc où c'est bizarre alors que je suis sensible à plein de choses mais
[00:46:20.380 --> 00:46:21.380]   je suis pas forcément sensible.
[00:46:21.380 --> 00:46:27.220]   Enfin je réfléchis là à des expos ou des trucs qui m'ont vraiment plu.
[00:46:27.220 --> 00:46:31.320]   C'est marrant, ça m'a jamais touché mais c'est peut-être les souvenirs d'école
[00:46:31.320 --> 00:46:32.320]   aussi tu sais où on te forçait.
[00:46:32.320 --> 00:46:33.320]   Ouais peut-être ouais.
[00:46:33.320 --> 00:46:38.460]   J'ai vraiment des mauvais souvenirs de moments très longtemps debout à devoir analyser
[00:46:38.460 --> 00:46:42.460]   une œuvre et à te forcer aussi à penser quelque chose d'une œuvre.
[00:46:42.460 --> 00:46:46.260]   Et au lycée j'étais en arts plastiques donc c'était ma matière principale.
[00:46:46.260 --> 00:46:48.320]   Enfin c'était l'option là je sais pas.
[00:46:48.320 --> 00:46:49.320]   Ouais bien sûr.
[00:46:49.320 --> 00:46:51.320]   Et du coup c'était je sais pas.
[00:46:51.320 --> 00:46:52.320]   C'était ça.
[00:46:52.320 --> 00:46:53.320]   Ouais.
[00:46:53.320 --> 00:46:55.560]   Non moi je te rejoins, j'ai toujours un petit souci sur la durée d'une expo moi.
[00:46:55.560 --> 00:46:58.680]   T'sais y'a toujours un truc où c'est trop long et je me fais un peu…
[00:46:58.680 --> 00:46:59.680]   Ouais.
[00:46:59.680 --> 00:47:00.680]   Y'a des expos très courtes qui sont très agréables.
[00:47:00.680 --> 00:47:01.680]   Mais c'est différent expos et musées.
[00:47:01.680 --> 00:47:02.680]   Enfin…
[00:47:02.680 --> 00:47:03.680]   Oui c'est vrai.
[00:47:03.680 --> 00:47:05.680]   Expos et musées c'est pas la même chose.
[00:47:05.680 --> 00:47:08.820]   À la base je demandais musées mais de temps en temps t'as des expos dans les musées
[00:47:08.820 --> 00:47:09.820]   qui sont très cool.
[00:47:09.820 --> 00:47:13.080]   C'est vrai qu'un musée entier, déjà d'une c'est comme un parc d'attractions pour
[00:47:13.080 --> 00:47:14.080]   moi un musée.
[00:47:14.080 --> 00:47:15.080]   T'es pas obligé de tout voir du musée.
[00:47:15.080 --> 00:47:16.080]   Tu peux venir plusieurs fois.
[00:47:16.080 --> 00:47:19.620]   Moi par exemple j'ai jamais fait le Louvre mais je sais que si un jour je vais au Louvre
[00:47:19.620 --> 00:47:22.260]   je vais pas avoir un truc de faut que je fasse tout le Louvre.
[00:47:22.260 --> 00:47:23.260]   Tu peux pas faire tout le Louvre.
[00:47:23.260 --> 00:47:25.440]   Non mais tu vois et puis tu t'en dégoutes en plus tu te dis…
[00:47:25.440 --> 00:47:28.800]   Faut pas hésiter à aller vite aussi dans les musées à parfois courir un peu.
[00:47:28.800 --> 00:47:30.500]   Tout le monde se met au même rythme souvent.
[00:47:30.500 --> 00:47:31.500]   C'est très fatiguant.
[00:47:31.500 --> 00:47:34.640]   Mais dans les pays étrangers j'adore, à Rome tu vois j'adore, y'a un truc ouais
[00:47:34.640 --> 00:47:37.480]   où je trace et où j'ai l'impression de traverser quelque chose mais je vais pas
[00:47:37.480 --> 00:47:40.460]   rester, je ne vais pas rester une demi-heure devant une œuvre…
[00:47:40.460 --> 00:47:44.620]   Mais ceci dit moi en vieillissant, avant je regardais que les œuvres et j'avançais
[00:47:44.620 --> 00:47:48.560]   et maintenant j'aime bien lire les textes, je vieillis j'imagine mais j'aime bien
[00:47:48.560 --> 00:47:51.580]   les petites anecdotes, les petits trucs genre ça m'intéresse presque plus, là j'ai
[00:47:51.580 --> 00:47:56.220]   fait le musée à Amsterdam de comment il s'appelle celui qui a plus d'oreilles ?
[00:47:56.220 --> 00:47:57.220]   Van Gogh.
[00:47:57.220 --> 00:47:58.220]   Van Gogh bien sûr.
[00:47:58.220 --> 00:47:59.220]   Il en reste qu'une.
[00:47:59.220 --> 00:48:03.540]   Il en reste qu'une et typiquement les œuvres sont très belles et tout mais moi je suis
[00:48:03.540 --> 00:48:06.720]   un peu comme toi je vais pas passer 20 minutes à essayer parce que je suis pas vraiment
[00:48:06.720 --> 00:48:10.620]   calé et ça m'intéresse pas plus que ça, en revanche comment le gars l'a fait, où
[00:48:10.620 --> 00:48:13.000]   est-ce qu'il était à ce moment-là dans sa vie et en plus le musée Van Gogh il est
[00:48:13.000 --> 00:48:14.600]   vachement bien fait parce qu'il retrace vraiment sa life.
[00:48:14.600 --> 00:48:19.320]   De façon chronologique bah du coup c'est fascinant et à la fin t'achètes son bouquin
[00:48:19.320 --> 00:48:22.560]   où il échange des lettres avec son frère du coup parce que c'est, t'es investi avec
[00:48:22.560 --> 00:48:24.980]   le personnage presque de l'exposition quoi.
